cluster,target_group,n_cells,frac_within_cluster
0,Anapc11,42,0.006301575393848462
0,Anapc4,34,0.005101275318829707
0,Atp11c,46,0.006901725431357839
0,Ccdc174,33,0.0049512378094523635
0,Cfdp1,40,0.006001500375093774
0,Gtf2h1,52,0.007801950487621906
0,Ino80,39,0.005851462865716429
0,Mettl16,41,0.006151537884471118
0,Pkm,27,0.004051012753188297
0,Ska1,33,0.0049512378094523635
0,Tti1,84,0.012603150787696924
0,Zfp407,56,0.008402100525131283
0,control_nt,467,0.0700675168792198
0,other_perturbed,5671,0.8508627156789197
1,Anapc11,47,0.0072879516204062645
1,Anapc4,42,0.006512637618235386
1,Atp11c,42,0.006512637618235386
1,Ccdc174,26,0.004031632811288572
1,Cfdp1,35,0.0054271980151961545
1,Gtf2h1,69,0.010699333229958133
1,Ino80,38,0.005892386416498682
1,Mettl16,45,0.006977826019537912
1,Pkm,39,0.006047449216932858
1,Ska1,36,0.00558226081563033
1,Tti1,77,0.01193983563343154
1,Zfp407,46,0.007132888819972089
1,control_nt,454,0.07039851139711584
1,other_perturbed,5453,0.8455574507675608
2,Anapc11,29,0.00562888198757764
2,Anapc4,35,0.006793478260869565
2,Atp11c,35,0.006793478260869565
2,Ccdc174,28,0.005434782608695652
2,Cfdp1,31,0.006017080745341615
2,Gtf2h1,45,0.00873447204968944
2,Ino80,40,0.007763975155279503
2,Mettl16,33,0.00640527950310559
2,Pkm,27,0.005240683229813665
2,Ska1,25,0.004852484472049689
2,Tti1,74,0.01436335403726708
2,Zfp407,49,0.009510869565217392
2,control_nt,381,0.07395186335403726
2,other_perturbed,4320,0.8385093167701864
3,Anapc11,28,0.00642939150401837
3,Anapc4,29,0.006659012629161883
3,Atp11c,29,0.006659012629161883
3,Ccdc174,25,0.0057405281285878304
3,Cfdp1,21,0.004822043628013777
3,Gtf2h1,26,0.005970149253731343
3,Ino80,21,0.004822043628013777
3,Mettl16,24,0.005510907003444317
3,Pkm,24,0.005510907003444317
3,Ska1,26,0.005970149253731343
3,Tti1,57,0.013088404133180253
3,Zfp407,38,0.008725602755453503
3,control_nt,284,0.06521239954075775
3,other_perturbed,3723,0.8548794489092997
4,Anapc11,20,0.004857906242409522
4,Anapc4,34,0.008258440612096187
4,Atp11c,33,0.00801554529997571
4,Ccdc174,30,0.0072868593636142825
4,Gtf2h1,44,0.010687393733300948
4,Mettl16,23,0.00558659217877095
4,Tti1,42,0.010201603109059995
4,Zfp407,36,0.008744231236337139
4,control_nt,298,0.07238280301190186
4,other_perturbed,3557,0.8639786252125334
5,Anapc11,22,0.005545752457776657
5,Anapc4,28,0.007058230400806655
5,Atp11c,30,0.007562389715149987
5,Ccdc174,28,0.007058230400806655
5,Gtf2h1,39,0.009831106629694983
5,Ino80,20,0.005041593143433325
5,Mettl16,25,0.006301991429291656
5,Pkm,21,0.005293672800604991
5,Tti1,41,0.010335265944038316
5,Zfp407,41,0.010335265944038316
5,control_nt,301,0.07587597680867154
5,other_perturbed,3371,0.8497605243256869
6,Tti1,23,0.013593380614657211
6,control_nt,114,0.0673758865248227
6,other_perturbed,1555,0.9190307328605201
7,control_nt,27,0.0645933014354067
7,other_perturbed,391,0.9354066985645934
8,control_nt,23,0.09745762711864407
8,other_perturbed,213,0.902542372881356
9,other_perturbed,34,1.0
